name	search_text	ric	boost
Western Digital Corp	WDC Western Western Digital Western Digital Corp	WDC.OQ	1.048791469
Jack Henry & Associates Inc	JKHY Jack Jack Henry Jack Henry & Jack Henry & Associates Jack Henry & Associates Inc	JKHY.OQ	1.048281938
Michael Anthony Holdings Inc	MAJJ Michael Michael Anthony Michael Anthony Holdings Michael Anthony Holdings Inc	MAJJ.PK	1.047919262
Avantor Inc	AVTR Avantor Avantor Inc	AVTR.N	1.047200933
Henry Schein Inc	HSIC Henry Henry Schein Henry Schein Inc	HSIC.OQ	1.046961086
Marathon Oil Corp	MRO Marathon Marathon Oil Marathon Oil Corp	MRO.N	1.0460272720000001
FMC Corp	FMC FMC FMC Corp	FMC.N	1.036590181
Axa Equitable Holdings Inc	EQH Axa Axa Equitable Axa Equitable Holdings Axa Equitable Holdings Inc	EQH.N	1.029273036
Apache Corp	APA Apache Apache Corp	APA.N	1.018193659
Arconic Inc	ARNC Arconic Arconic Inc	ARNC.N	1.015773725
PerkinElmer Inc	PKI PerkinElmer PerkinElmer Inc	PKI.N	1.015701636
Zebra Technologies Corp	ZBRA Zebra Zebra Technologies Zebra Technologies Corp	ZBRA.OQ	1.014770621
